QUESTION,BT LEVEL
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,Evaluation
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
Make a radio announcement that advertise the book. Write it out.,Synthesis
State the rule for balls and strikes in baseball.,Knowledge
State how to find a word in a dictionary,Knowledge
Identify a phrase as a simile,Knowledge
What does ICT stands for.,Knowledge
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
Can you solve the following problem ,Application
" Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
How would you investigate this patient,Analysis
Complete an analogy (analogy tasks are inference tasks),Comprehension
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
Write a set of rules to prevent what happened in the story.,Synthesis
 Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Which of the following item does not belong to the set ?,Knowledge
Recall the equation for the Ideal Gas Law.,Knowledge
"Develop a way to teach the concept of ""adjectives"".",Synthesis
Can you group by characteristics such as . . .?,Application
What is the title of the first movie you saw ,Knowledge
Would you solve these two problems using similar approaches,Application
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
Describe in prose what is shown in graph form.,Comprehension
How much data can be stored in the cach memory,Knowledge
 sketch a graph of velocity versus time for the upward and downward parts of a ball’s flight,Application
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",Comprehension
How would you have handled . . .?,Evaluation
Differentiate between .call by value and call by reference.,Analysis
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
"Analyze the problem, identifying its variables.",Analysis
Develop a hypothesis.,Synthesis
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
Establish criteria for making this choice and defend your final selection.,Evaluation
Devise plans to market or make artwork more valuable.,Synthesis
How does public health reporting differ today from reporting two years before,Analysis
How does...compare/contrast with...?,Analysis
Can you distinguish between . . .?,Analysis
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
Decide which candidate would best fill the position of principal.,Evaluation
Investigate whether or not the system can be solved for x; y; z ,Analysis
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Comprehension
"Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
Describe in your own words what is meant by a sprained ankle.,Comprehension
How could you re-write this story with a city setting?,Synthesis
Compare and contrast the waterfall model with the prototyping model.,Analysis
Name the artist who painted the Mona Lisa.,Knowledge
Sketch a typical absorption process in a packed column with regeneration in form of,Application
Summarize the basic tenets of deconstructionism.,Comprehension
Describe the output of this program fragment:,Comprehension
Express the following percentages as fractions in simplest form,Comprehension
What is part of this book did you like best. Tell why you like it?,Evaluation
How would you classify the geographic location of your school,Comprehension
Rewrite the principles of test writing.,Comprehension
Please label the diagram below:,Knowledge
Recite a policy of immigration in Europe .,Knowledge
What are the major products and exports of countries,Knowledge
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
How much time did he took to build a house,Knowledge
